Branch Code,Structural Category,New ID,emp branch English,emp dept English,emp religion,Gender - English,Date of Birth,English Position,Band,emp nationality,emp join date,Married or Not,No of Children,BASIC SALARY MTH,BASIC SALARY YEAR,HOUSING EMP YEAR,EMP TRANS,EMP GAZ,emp MOBILE,emp TRAVEL,JOB NATURE,emp FOOD,Social Insurance,current year service end value,No of Yearly Tickets,tickets value,emp Insurance value,family Insurance value,family Insurance count,emp Insurance total,emp Insurance type,ramadan akramia,Manager new
HO,Fin,11111218,Madina,Finance,Muslim,Male,11/14/1985,Data Entry,3,Saudi,25-Jul-16,Single,0,4250,51000,24000,13200,0,0,0,0,0,6250,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111219,Jeddah,Finance,Muslim,Male,9/1/1985,Senior Accountant,3,Egyptian,10-Nov-15,Married,0,7000,84000,21000,13200,0,0,0,6000,0,8750,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111220,Jeddah,Finance,Muslim,Male,11/8/1991,Accountant,3,Saudi,23-Dec-15,Single,0,5000,60000,24000,13200,0,0,0,0,0,7000,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111221,Riyadh,Finance,Muslim,Male,2/18/1988,Senior Accountant,3,Displaced Tripes,4-May-15,Married,0,6500,78000,24000,13200,0,0,0,0,0,8500,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111222,Riyadh,Finance,Muslim,Male,10/10/1991,Senior Accountant,3,Displaced Tripes,17-May-15,Married,0,6500,78000,24000,13200,0,0,0,0,0,8500,0,0,0,0,0,0,0,,0,11111295
ho,Fin,11111223,Dammam,Finance,Muslim,Male,5/11/1985,Accountant,3,Saudi,26-Aug-14,Married,0,5750,69000,24000,13200,0,0,0,0,0,7750,2968.44,0,0,0,0,0,0,,0,11111295
ho,Fin,11111224,Khamis,Finance,Muslim,Male,10/17/1992,Book Keeper,3,Saudi,3-Mar-24,Single,0,4000,48000,24000,13200,0,0,0,0,0,6000,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111225,Riyadh,Finance,Muslim,Male,7/2/1998,Accountant,3,Saudi,12-Sep-21,Single,0,5500,66000,16500,13200,0,0,0,0,0,6875,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111226,Dammam,Finance,Muslim,Male,5/9/1977,Accountant,3,Saudi,14-Mar-21,Married,0,5750,69000,24000,13200,0,0,0,0,0,7750,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111227,Jeddah,Finance,Muslim,Male,5/27/1992,Senior Book Keeper,3,Saudi,25-Nov-19,Single,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111228,Jeddah,Finance,Muslim,Male,1/31/1994,Accountant,3,Saudi,8-Dec-19,Married,0,6000,72000,24000,13200,0,0,0,0,0,8000,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111229,Riyadh,Finance,Muslim,Male,8/25/2002,Accountant,3,Saudi,2-Oct-25,Single,0,5500,66000,16500,13200,0,0,0,0,0,6875,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111230,Dammam,Finance,Muslim,Male,4/13/1994,Book Keeper,3,Saudi,12-Oct-25,Married,0,3750,45000,24000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111231,Riyadh,Finance,Muslim,Male,11/20/1995,Senior Book Keeper,3,Saudi,29-May-25,Married,0,5250,63000,24000,13200,0,0,0,0,0,7250,0,0,0,0,0,0,0,,0,11111295
HO,Fin,11111232,HO-Jeddah,Finance,Muslim,Male,12/13/1971,Financial Controller,6,Egyptian,5-Feb-12,Married,1,15500,186000,46500,36000,0,3000,0,0,0,20375,6041.16,0,0,0,0,0,0,,0,N-1
HO,Fin,11111233,Jeddah,Finance,Muslim,Male,1/1/1990,Senior Accountant,3,Egyptian,4-Oct-16,Single,0,6500,78000,19500,13200,0,0,0,0,0,8125,0,0,0,0,0,0,0,,0,11111232
ho,Fin,11111234,HO-Jeddah,Finance,Muslim,Male,8/17/1985,Accounting Supervisor,4,Egyptian,24-Jun-13,Married,1,7500,90000,22500,18000,0,2400,0,0,0,9375,2983.56,0,0,0,0,0,0,,0,11111232
HO,Fin,11111235,Riyadh,Finance,Muslim,Male,5/17/1984,Data Entry,3,Saudi,11-Sep-22,Single,0,4000,48000,24000,13200,0,0,0,0,0,6000,0,0,0,0,0,0,0,,0,11111232
HO,Fin,11111236,HO-Jeddah,Finance,Muslim,Male,6/25/2000,Senior Accountant,3,Saudi,3-Sep-23,Single,0,6000,72000,21000,13200,0,0,0,0,0,7750,0,0,0,0,0,0,0,,0,11111232
HO,Fin,11111237,Dammam,Finance,Muslim,Male,11/2/1998,Book Keeper,3,Saudi,11-Aug-24,Single,0,4500,54000,15000,13200,0,0,0,0,0,5750,0,0,0,0,0,0,0,,0,11111232
HO,Fin,11111238,HO-Jeddah,Finance,Muslim,Male,4/9/1984,Senior Accountant,3,Egyptian,2-Jul-24,Single,0,6500,78000,21000,13200,0,0,0,0,0,8250,0,0,0,0,0,0,0,,0,11111232
HO,Fin,11111239,Jeddah,Finance,Muslim,Male,1/13/1997,Book Keeper,3,Saudi,8-Jul-24,Single,0,4000,48000,15000,13200,6000,0,0,0,0,5250,0,0,0,0,0,0,0,,0,11111232
HO,Fin,11111240,HO-Jeddah,Finance,Muslim,Male,3/20/2002,Accountant,3,Egyptian,29-Jun-25,Single,0,5500,66000,16500,13200,0,0,0,0,0,6875,0,0,0,0,0,0,0,,0,11111232
